modelId,week,model rmse 1,model rmse 2,last value baseline 1 rmse,last value baseline 2 rmse,rel. diff. to last value baseline 1,rel. diff. to last value baseline 2,modelClass,isMultiWeek,hiddenLayers,numberOfhiddenLayers,isTwoWay,l1reg,alpha,dropoutValue,learningRate,numberOfRanEpochs,modelIdNumber,l1_ratio,max_features,n_estimators,rank1,rank2,overallRank
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[100, 100]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001",10,0.08518439246402251,0.1688935705797619,0.11006964252177773,0.29486081431340805,0.22608640754721782,0.4272091699501154,Keras,True,"[100, 100]",2.0,False,0.0,0.0001,0.0,0.0001,28.0,12449,,,,27.0,223.0,43.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0.3/learningRate=0.0001,10,0.0921677521324703,0.1662898440214685,0.11006964252177773,0.29486081431340805,0.16264148750883298,0.43603952797634626,Keras,True,[1000],1.0,False,0.0,0.0001,0.3,0.0001,28.0,17344,,,,223.0,131.0,43.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[90, 45]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0/dropoutValue=0/learningRate=0.001",10,0.09222448211898389,0.16207431398977362,0.11006964252177773,0.29486081431340805,0.16212608666611325,0.450336205686848,Keras,True,"[90, 45]",2.0,False,0.0,0.0,0.0,0.001,14.0,3013,,,,225.0,36.0,44.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[200]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0/alpha=0/dropoutValue=0.3/learningRate=0.001,10,0.0889389346972478,0.1689596255539721,0.11006964252177773,0.29486081431340805,0.19197580132368589,0.4269851490866988,Keras,True,[200],1.0,False,0.0,0.0,0.3,0.001,23.0,7885,,,,99.0,226.0,45.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[300]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0.5/learningRate=0.0001,10,0.08631915976194479,0.16903273617370448,0.11006964252177773,0.29486081431340805,0.21577686831438384,0.42673719949087807,Keras,True,[300],1.0,False,0.0,0.0001,0.5,0.0001,48.0,19788,,,,39.0,230.0,46.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[80, 40]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001",10,0.0923041206315713,0.1667513146356619,0.11006964252177773,0.29486081431340805,0.16140255826388686,0.4344744823962209,Keras,True,"[80, 40]",2.0,False,0.0,0.0001,0.0,0.0001,34.0,12464,,,,230.0,150.0,46.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[200]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0.3/learningRate=0.0001,10,0.09231529613366961,0.1685375309322168,0.11006964252177773,0.29486081431340805,0.16130102707106866,0.42841665371961574,Keras,True,[200],1.0,False,0.0,0.0001,0.3,0.0001,44.0,17337,,,,232.0,210.0,47.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[200, 100, 50]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0.2/learningRate=0.0001",10,0.0923715277019936,0.1683325983899744,0.11006964252177773,0.29486081431340805,0.16079015443592892,0.4291116682223721,Keras,True,"[200, 100, 50]",3.0,False,0.0,0.0001,0.2,0.0001,25.0,14928,,,,235.0,202.0,48.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 100, 50, 50, 50, 50, 50, 50]/numberOfhiddenLayers=8/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.001",10,0.0893645746439243,0.1694644850291812,0.11006964252177773,0.29486081431340805,0.18810879551786353,0.42527295319391906,Keras,True,"[400, 100, 50, 50, 50, 50, 50, 50]",8.0,False,0.0,0.0001,0.0,0.001,15.0,2702,,,,113.0,245.0,49.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[250, 125]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001",10,0.0926611663329482,0.1679702720552087,0.11006964252177773,0.29486081431340805,0.15815874195634996,0.43034047285553234,Keras,True,"[250, 125]",2.0,False,0.0,0.0001,0.0,0.0001,23.0,12471,,,,247.0,192.0,50.0
