geoRegion,datum,entries,sumTotal,timeframe_7d,offset_last7d,sumTotal_last7d,timeframe_14d,offset_last14d,sumTotal_last14d,timeframe_28d,offset_last28d,sumTotal_last28d,timeframe_phase2,offset_Phase2,sumTotal_Phase2,timeframe_phase2b,offset_Phase2b,sumTotal_Phase2b,timeframe_phase3,offset_Phase3,sumTotal_Phase3,sum7d,sum14d,mean7d,mean14d,timeframe_all,entries_diff_last_age,pop,inz_entries,inzmean7d,inzmean14d,inzsumTotal,inzsumTotal_last7d,inzsumTotal_last14d,inzsumTotal_last28d,inzsumTotal_Phase2,inzsumTotal_Phase2b,inzsumTotal_Phase3,inzsum7d,inzsum14d,sumdelta7d,inzdelta7d,type,type_variant,version,datum_unit,entries_letzter_stand,entries_neu_gemeldet,entries_diff_last
CH,2020-04-11,45,3509,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,381,1118,45,43.57,TRUE,1,8606033,0.52,0.52,0.51,40.77,NA,NA,NA,NA,NA,NA,4.43,12.99,-13,-0.15000000000000036,COVID19Hosp,,2021-06-25_07-49-37,day,45,0,5
CH,2020-04-12,33,3542,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,364,1029,41.14,41.71,TRUE,1,8606033,0.38,0.48,0.48,41.16,NA,NA,NA,NA,NA,NA,4.23,11.96,-17,-0.1999999999999993,COVID19Hosp,,2021-06-25_07-49-37,day,33,0,5
CH,2020-04-13,28,3570,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,321,892,38.43,38.29,TRUE,1,8606033,0.33,0.45,0.44,41.48,NA,NA,NA,NA,NA,NA,3.73,10.36,-43,-0.5000000000000004,COVID19Hosp,,2021-06-25_07-49-37,day,28,0,5
CH,2020-04-14,52,3622,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,315,819,37.14,35.5,TRUE,1,8606033,0.6,0.43,0.41,42.09,NA,NA,NA,NA,NA,NA,3.66,9.52,-6,-0.06999999999999984,COVID19Hosp,,2021-06-25_07-49-37,day,52,0,5
CH,2020-04-15,32,3654,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,288,754,32.71,32.79,TRUE,1,8606033,0.37,0.38,0.38,42.46,NA,NA,NA,NA,NA,NA,3.35,8.76,-27,-0.31000000000000005,COVID19Hosp,,2021-06-25_07-49-37,day,32,0,5
CH,2020-04-16,38,3692,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,269,697,31.43,29.36,TRUE,1,8606033,0.44,0.37,0.34,42.9,NA,NA,NA,NA,NA,NA,3.13,8.1,-19,-0.2200000000000002,COVID19Hosp,,2021-06-25_07-49-37,day,38,0,5
CH,2020-04-17,32,3724,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,260,654,30.71,27.36,TRUE,1,8606033,0.37,0.36,0.32,43.27,NA,NA,NA,NA,NA,NA,3.02,7.6,-9,-0.10999999999999988,COVID19Hosp,,2021-06-25_07-49-37,day,32,0,5
CH,2020-04-18,14,3738,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,229,610,26,25.21,TRUE,1,8606033,0.16,0.3,0.29,43.43,NA,NA,NA,NA,NA,NA,2.66,7.09,-31,-0.3599999999999999,COVID19Hosp,,2021-06-25_07-49-37,day,14,0,5
CH,2020-04-19,24,3762,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,220,584,24.43,23.29,TRUE,1,8606033,0.28,0.28,0.27,43.71,NA,NA,NA,NA,NA,NA,2.56,6.79,-9,-0.10000000000000009,COVID19Hosp,,2021-06-25_07-49-37,day,24,0,5
CH,2020-04-20,23,3785,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,215,536,20.29,22.21,TRUE,1,8606033,0.27,0.24,0.26,43.98,NA,NA,NA,NA,NA,NA,2.5,6.23,-5,-0.06000000000000005,COVID19Hosp,,2021-06-25_07-49-37,day,23,0,5
CH,2020-04-21,19,3804,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,182,497,17.57,19.57,TRUE,1,8606033,0.22,0.2,0.23,44.2,NA,NA,NA,NA,NA,NA,2.11,5.78,-33,-0.3900000000000001,COVID19Hosp,,2021-06-25_07-49-37,day,19,0,5
CH,2020-04-22,21,3825,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,171,459,17.71,18.07,TRUE,1,8606033,0.24,0.21,0.21,44.45,NA,NA,NA,NA,NA,NA,1.99,5.33,-11,-0.11999999999999988,COVID19Hosp,,2021-06-25_07-49-37,day,21,0,5
