geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
CH07,202024,0,313,NA,NA,351491,0,89.05,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-24,-1,-0.28,-100,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH01,202025,1,726,1,100,1654751,0.06,43.87,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-25,-1,-0.06,-50,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH02,202025,0,251,NA,NA,1886584,0,13.3,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-25,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH03,202025,1,133,1,100,1171157,0.09,11.36,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-25,1,0.09,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH04,202025,0,127,NA,NA,1539275,0,8.25,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-25,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH05,202025,0,119,NA,NA,1183813,0,10.05,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-25,-2,-0.17,-100,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH06,202025,0,61,NA,NA,818962,0,7.45,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-25,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH07,202025,0,313,NA,NA,351491,0,89.05,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-25,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH01,202026,1,727,1,100,1654751,0.06,43.93,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-26,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH02,202026,0,251,NA,NA,1886584,0,13.3,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-26,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH03,202026,0,133,NA,NA,1171157,0,11.36,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-26,-1,-0.09,-100,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
